Iteration, Objective Value, Parameters
0, -1560.4838, gamma=0.9919481448029035, tau=0.0017337391594646552, noise_scale=0.16695365004091545, lr_a=0.00019265039164425424, lr_c=0.0003263970899721555, updates_per_step=1, hidden_size=128, batch_size=64, warn_up=3000, seed=42
1, -1551.8356, gamma=0.9897633270942328, tau=0.0012256463161084011, noise_scale=0.15829981584002373, lr_a=0.0002804164236534016, lr_c=0.0002001711855640527, updates_per_step=2, hidden_size=256, batch_size=128, warn_up=3000, seed=43
2, -1440.9175, gamma=0.9803459363756212, tau=0.003099098641033557, noise_scale=0.10997914575728834, lr_a=0.0001052604396853888, lr_c=0.0005829475086672716, updates_per_step=1, hidden_size=128, batch_size=128, warn_up=3000, seed=44
3, -1515.3651, gamma=0.9947484632871019, tau=0.00286705157299192, noise_scale=0.17899106101044815, lr_a=0.00021114907655316763, lr_c=0.0003280747178606137, updates_per_step=1, hidden_size=256, batch_size=128, warn_up=3000, seed=45
4, -1509.3195, gamma=0.9802394937833032, tau=0.001923575302488596, noise_scale=0.08615381990390178, lr_a=0.00021183589276296849, lr_c=0.00039090602695657407, updates_per_step=2, hidden_size=128, batch_size=64, warn_up=3000, seed=46
5, -1425.0399, gamma=0.9913304211547648, tau=0.0027006234979649792, noise_scale=0.08119124943022835, lr_a=0.00018657862694029966, lr_c=0.00020699994642281843, updates_per_step=2, hidden_size=128, batch_size=64, warn_up=3000, seed=47
6, -1586.9054, gamma=0.9909090799378463, tau=0.002306163075223342, noise_scale=0.13556659616080996, lr_a=0.00017721525159419154, lr_c=0.0005749440685747667, updates_per_step=2, hidden_size=256, batch_size=128, warn_up=3000, seed=48
7, -1492.5429, gamma=0.9944788296089621, tau=0.0034281369907467395, noise_scale=0.09139987730338152, lr_a=0.00013847085913905395, lr_c=0.0002398183248060563, updates_per_step=1, hidden_size=128, batch_size=64, warn_up=3000, seed=49
8, -1570.7165, gamma=0.9802111973407263, tau=0.001795369616355221, noise_scale=0.15670129291229754, lr_a=0.00023823718308713, lr_c=0.0003891762949280897, updates_per_step=2, hidden_size=256, batch_size=128, warn_up=3000, seed=50
9, -1531.1956, gamma=0.986741760112073, tau=0.0013816404659616455, noise_scale=0.10562273782973997, lr_a=0.00020850591399739743, lr_c=0.00041567672335072233, updates_per_step=2, hidden_size=128, batch_size=128, warn_up=3000, seed=51
10, -1677.8397, gamma=0.9945756814308365, tau=0.004395655297064337, noise_scale=0.15825942817473101, lr_a=0.00012959654424217785, lr_c=0.000264975448009229, updates_per_step=1, hidden_size=256, batch_size=64, warn_up=3000, seed=52
11, -1647.2439, gamma=0.9830257880350309, tau=0.004583054382694078, noise_scale=0.12130553347731679, lr_a=0.00018567385210732518, lr_c=0.0004294133118714702, updates_per_step=1, hidden_size=256, batch_size=128, warn_up=3000, seed=53
12, -1571.9753, gamma=0.9941428035583697, tau=0.0033954618659541446, noise_scale=0.15421773995595572, lr_a=0.00026308126417456305, lr_c=0.00039712075226165764, updates_per_step=1, hidden_size=128, batch_size=64, warn_up=3000, seed=54
13, -1576.7315, gamma=0.9862476492180555, tau=0.004533121035675474, noise_scale=0.09865175315079111, lr_a=0.00011435384140712681, lr_c=0.0002958198191481487, updates_per_step=2, hidden_size=128, batch_size=128, warn_up=3000, seed=55
14, -1615.6600, gamma=0.9852885328450125, tau=0.0022191250326321164, noise_scale=0.07469837797144127, lr_a=0.0001798147915540567, lr_c=0.0003406847391386677, updates_per_step=2, hidden_size=128, batch_size=64, warn_up=3000, seed=56
15, -1452.9985, gamma=0.983281463293596, tau=0.003232408008069365, noise_scale=0.11057542565870615, lr_a=0.00010738941346224834, lr_c=0.0002643494654576385, updates_per_step=1, hidden_size=256, batch_size=128, warn_up=3000, seed=57
16, -1605.2269, gamma=0.9949661072757341, tau=0.0020671240571011403, noise_scale=0.196492243374898, lr_a=0.0001570776862611763, lr_c=0.00020739543975275637, updates_per_step=1, hidden_size=256, batch_size=128, warn_up=3000, seed=58
17, -1581.7586, gamma=0.9867167474685964, tau=0.0032115723562853122, noise_scale=0.13890450858190906, lr_a=0.00010928909772606635, lr_c=0.0003001926077676816, updates_per_step=1, hidden_size=256, batch_size=64, warn_up=3000, seed=59
18, -1628.3485, gamma=0.9859823666366683, tau=0.004265727492877536, noise_scale=0.16975176874768272, lr_a=0.00011800775373274154, lr_c=0.00034954446834633207, updates_per_step=2, hidden_size=256, batch_size=64, warn_up=3000, seed=60
19, -1563.5005, gamma=0.9906672429865703, tau=0.004238004184558863, noise_scale=0.10229989809375942, lr_a=0.00011114447448055962, lr_c=0.0005620482963091785, updates_per_step=1, hidden_size=256, batch_size=128, warn_up=3000, seed=61
20, -1526.1873, gamma=0.9913893881713121, tau=0.0027056493988556257, noise_scale=0.08132907447992921, lr_a=0.00018663403565103792, lr_c=0.00021504549784318635, updates_per_step=2, hidden_size=128, batch_size=64, warn_up=3000, seed=62
21, -1577.4465, gamma=0.9806402221913273, tau=0.0030441118734066625, noise_scale=0.05, lr_a=0.00017466069397647629, lr_c=0.0005357654889259575, updates_per_step=1, hidden_size=128, batch_size=128, warn_up=3000, seed=63
22, -1536.2237, gamma=0.9945144285056267, tau=0.0031153580256660213, noise_scale=0.15699824266697598, lr_a=0.0001, lr_c=0.00022783326715749042, updates_per_step=2, hidden_size=128, batch_size=128, warn_up=3000, seed=64
23, -1492.8178, gamma=0.9808752863501142, tau=0.0029204889268809133, noise_scale=0.10718739317390254, lr_a=0.00011269767888788315, lr_c=0.00027282739136349815, updates_per_step=2, hidden_size=128, batch_size=64, warn_up=3000, seed=65
24, -1756.9107, gamma=0.9918810273790718, tau=0.0030689207960944045, noise_scale=0.09427915612490007, lr_a=0.00010734197633884182, lr_c=0.0003214927951892511, updates_per_step=2, hidden_size=256, batch_size=128, warn_up=3000, seed=66
25, -1673.4037, gamma=0.9927301629608255, tau=0.004998490472580114, noise_scale=0.10041706166167234, lr_a=0.00011888344106218866, lr_c=0.00022086554671320904, updates_per_step=2, hidden_size=128, batch_size=128, warn_up=3000, seed=67
26, -1475.6780, gamma=0.9874197712953132, tau=0.0029329233621346144, noise_scale=0.19334810831549432, lr_a=0.0001, lr_c=0.00030739867603170144, updates_per_step=2, hidden_size=128, batch_size=64, warn_up=3000, seed=68
27, -1465.2776, gamma=0.9813357807714951, tau=0.002950521020207893, noise_scale=0.11780208734151885, lr_a=0.0001, lr_c=0.0005103647341463699, updates_per_step=2, hidden_size=128, batch_size=64, warn_up=3000, seed=69
28, -1483.5192, gamma=0.9828244975896189, tau=0.0030116362890857213, noise_scale=0.08887766188959914, lr_a=0.0001, lr_c=0.0004476919943516711, updates_per_step=2, hidden_size=128, batch_size=64, warn_up=3000, seed=70
29, -1475.2825, gamma=0.9860329746110843, tau=0.0032360809120545275, noise_scale=0.08222649795164354, lr_a=0.0003, lr_c=0.0004916711431068733, updates_per_step=2, hidden_size=128, batch_size=64, warn_up=3000, seed=71
30, -1561.7687, gamma=0.9802057005934615, tau=0.0031331408774899986, noise_scale=0.17599466754950144, lr_a=0.0001365437288175298, lr_c=0.00021673563251307224, updates_per_step=2, hidden_size=128, batch_size=64, warn_up=3000, seed=72
31, -1573.9241, gamma=0.9826921295853674, tau=0.004292928067407305, noise_scale=0.058083856825252564, lr_a=0.00010406932584105257, lr_c=0.00026025270002628687, updates_per_step=1, hidden_size=128, batch_size=128, warn_up=3000, seed=73
32, -1611.2853, gamma=0.9843333361656595, tau=0.0028611300370264417, noise_scale=0.19818821533743808, lr_a=0.00021641274560177154, lr_c=0.0005390766833045481, updates_per_step=2, hidden_size=128, batch_size=64, warn_up=3000, seed=74
33, -1592.3422, gamma=0.9925335771598925, tau=0.0030036327244587708, noise_scale=0.10279773114697223, lr_a=0.00012561251179572585, lr_c=0.00030130215121420764, updates_per_step=2, hidden_size=128, batch_size=128, warn_up=3000, seed=75
34, -1571.5401, gamma=0.98, tau=0.0032837023381743296, noise_scale=0.17553224671139345, lr_a=0.0001, lr_c=0.0003805410139620148, updates_per_step=1, hidden_size=128, batch_size=128, warn_up=3000, seed=76
35, -1573.0931, gamma=0.9829319758940935, tau=0.0031013594298899667, noise_scale=0.08350037377759909, lr_a=0.0001203772424071345, lr_c=0.0004211426301743879, updates_per_step=2, hidden_size=128, batch_size=64, warn_up=3000, seed=77
36, -1501.5404, gamma=0.9805754281251401, tau=0.0026633470129787257, noise_scale=0.10555278985606587, lr_a=0.00012433751820865088, lr_c=0.000572644691913973, updates_per_step=2, hidden_size=128, batch_size=64, warn_up=3000, seed=78
37, -1508.9025, gamma=0.9844839139563952, tau=0.002619686174899814, noise_scale=0.05, lr_a=0.00012629707720051395, lr_c=0.00024350922007640902, updates_per_step=1, hidden_size=128, batch_size=64, warn_up=3000, seed=79
38, -1429.9978, gamma=0.9949863039580766, tau=0.002681949565748711, noise_scale=0.05, lr_a=0.00012277453357561037, lr_c=0.0002894299990746026, updates_per_step=2, hidden_size=128, batch_size=64, warn_up=3000, seed=80
39, -1510.9417, gamma=0.9908977406573537, tau=0.0027434708652711607, noise_scale=0.05, lr_a=0.00010773042904686564, lr_c=0.00039525629412391405, updates_per_step=2, hidden_size=128, batch_size=64, warn_up=3000, seed=81
40, -1702.3569, gamma=0.995, tau=0.0027317186539331873, noise_scale=0.05, lr_a=0.00014336219798985266, lr_c=0.00020000000000000004, updates_per_step=2, hidden_size=128, batch_size=64, warn_up=3000, seed=82
41, -1457.8950, gamma=0.98, tau=0.001, noise_scale=0.2, lr_a=0.0001, lr_c=0.0005999999999999997, updates_per_step=1, hidden_size=128, batch_size=64, warn_up=3000, seed=83
42, -1575.7673, gamma=0.981463698769263, tau=0.003004691671186569, noise_scale=0.18255619739646706, lr_a=0.00010616633063822519, lr_c=0.0004925999718462854, updates_per_step=1, hidden_size=128, batch_size=128, warn_up=3000, seed=84
43, -1475.9235, gamma=0.98, tau=0.001, noise_scale=0.2, lr_a=0.0003, lr_c=0.0005999999999999997, updates_per_step=1, hidden_size=128, batch_size=64, warn_up=3000, seed=85
44, -1528.9586, gamma=0.9891511599437783, tau=0.0027146948311653294, noise_scale=0.08051031546921156, lr_a=0.00018594536134214744, lr_c=0.00020428120556580825, updates_per_step=2, hidden_size=128, batch_size=64, warn_up=3000, seed=86
45, -1572.7791, gamma=0.9832928603677253, tau=0.003260229825835139, noise_scale=0.10976415921153244, lr_a=0.00022234822034476707, lr_c=0.0002636033886935065, updates_per_step=1, hidden_size=256, batch_size=128, warn_up=3000, seed=87
46, -1348.1420, gamma=0.98, tau=0.001, noise_scale=0.05, lr_a=0.0001, lr_c=0.0005999999999999997, updates_per_step=1, hidden_size=128, batch_size=64, warn_up=3000, seed=88
47, -1472.3806, gamma=0.98, tau=0.001, noise_scale=0.05, lr_a=0.0001, lr_c=0.0005999999999999997, updates_per_step=1, hidden_size=128, batch_size=64, warn_up=3000, seed=89
48, -1497.1369, gamma=0.98, tau=0.001, noise_scale=0.05, lr_a=0.0001, lr_c=0.00020000000000000004, updates_per_step=1, hidden_size=128, batch_size=64, warn_up=3000, seed=90
49, -1422.3516, gamma=0.98, tau=0.001, noise_scale=0.05, lr_a=0.0001, lr_c=0.0005999999999999997, updates_per_step=1, hidden_size=128, batch_size=64, warn_up=3000, seed=91
50, -1547.5179, gamma=0.98, tau=0.001, noise_scale=0.05, lr_a=0.0001, lr_c=0.00020000000000000004, updates_per_step=1, hidden_size=128, batch_size=64, warn_up=3000, seed=92
51, -1374.8641, gamma=0.995, tau=0.005, noise_scale=0.05, lr_a=0.0001, lr_c=0.0005999999999999997, updates_per_step=1, hidden_size=128, batch_size=64, warn_up=3000, seed=93
52, -1664.3261, gamma=0.995, tau=0.005, noise_scale=0.05, lr_a=0.0001, lr_c=0.0005999999999999997, updates_per_step=1, hidden_size=128, batch_size=64, warn_up=3000, seed=94
53, -1395.5465, gamma=0.98, tau=0.001, noise_scale=0.05, lr_a=0.0001, lr_c=0.0005999999999999997, updates_per_step=1, hidden_size=128, batch_size=64, warn_up=3000, seed=95
54, -1549.8316, gamma=0.995, tau=0.001, noise_scale=0.05, lr_a=0.0001, lr_c=0.0005999999999999997, updates_per_step=2, hidden_size=128, batch_size=64, warn_up=3000, seed=96
55, -1494.7995, gamma=0.98, tau=0.001, noise_scale=0.05, lr_a=0.0001, lr_c=0.0005999999999999997, updates_per_step=1, hidden_size=128, batch_size=64, warn_up=3000, seed=97
56, -1529.9974, gamma=0.98, tau=0.001, noise_scale=0.05, lr_a=0.0001, lr_c=0.0005999999999999997, updates_per_step=1, hidden_size=128, batch_size=64, warn_up=3000, seed=98
57, -1490.3840, gamma=0.98, tau=0.001, noise_scale=0.05, lr_a=0.0001, lr_c=0.0005999999999999997, updates_per_step=1, hidden_size=128, batch_size=64, warn_up=3000, seed=99
58, -1451.6437, gamma=0.98, tau=0.001, noise_scale=0.05, lr_a=0.0003, lr_c=0.0005999999999999997, updates_per_step=1, hidden_size=128, batch_size=64, warn_up=3000, seed=100
59, -1526.0358, gamma=0.98, tau=0.001, noise_scale=0.05, lr_a=0.0003, lr_c=0.0005999999999999997, updates_per_step=1, hidden_size=128, batch_size=64, warn_up=3000, seed=101
60, -1595.9897, gamma=0.98, tau=0.001, noise_scale=0.2, lr_a=0.0001, lr_c=0.0005999999999999997, updates_per_step=1, hidden_size=128, batch_size=64, warn_up=3000, seed=102
61, -1356.8021, gamma=0.98, tau=0.001, noise_scale=0.05, lr_a=0.0003, lr_c=0.0005999999999999997, updates_per_step=1, hidden_size=128, batch_size=64, warn_up=3000, seed=103
62, -1420.8636, gamma=0.98, tau=0.001, noise_scale=0.05, lr_a=0.0003, lr_c=0.0005999999999999997, updates_per_step=1, hidden_size=128, batch_size=64, warn_up=3000, seed=104
63, -1573.5305, gamma=0.98, tau=0.001, noise_scale=0.05, lr_a=0.0003, lr_c=0.0005999999999999997, updates_per_step=1, hidden_size=128, batch_size=64, warn_up=3000, seed=105
64, -1507.0704, gamma=0.98, tau=0.001, noise_scale=0.05, lr_a=0.0003, lr_c=0.0005999999999999997, updates_per_step=1, hidden_size=128, batch_size=64, warn_up=3000, seed=106
65, -1436.5751, gamma=0.98, tau=0.001, noise_scale=0.05, lr_a=0.0001, lr_c=0.0005999999999999997, updates_per_step=1, hidden_size=128, batch_size=64, warn_up=3000, seed=107
66, -1429.3813, gamma=0.98, tau=0.001, noise_scale=0.05, lr_a=0.0001, lr_c=0.0005999999999999997, updates_per_step=1, hidden_size=128, batch_size=64, warn_up=3000, seed=108
67, -1538.2592, gamma=0.98, tau=0.001, noise_scale=0.05, lr_a=0.0001, lr_c=0.0005999999999999997, updates_per_step=1, hidden_size=128, batch_size=64, warn_up=3000, seed=109
68, -1395.3746, gamma=0.98, tau=0.001, noise_scale=0.05, lr_a=0.0003, lr_c=0.0005999999999999997, updates_per_step=1, hidden_size=128, batch_size=64, warn_up=3000, seed=110
69, -1532.0484, gamma=0.98, tau=0.001, noise_scale=0.05, lr_a=0.0003, lr_c=0.0005999999999999997, updates_per_step=1, hidden_size=128, batch_size=64, warn_up=3000, seed=111
70, -1393.6795, gamma=0.98, tau=0.001, noise_scale=0.05, lr_a=0.0003, lr_c=0.0005999999999999997, updates_per_step=1, hidden_size=128, batch_size=64, warn_up=3000, seed=112
71, -1633.1222, gamma=0.98, tau=0.001, noise_scale=0.05, lr_a=0.0003, lr_c=0.0005999999999999997, updates_per_step=1, hidden_size=128, batch_size=128, warn_up=3000, seed=113
72, -1569.3883, gamma=0.98, tau=0.005, noise_scale=0.05, lr_a=0.0003, lr_c=0.0005999999999999997, updates_per_step=1, hidden_size=128, batch_size=64, warn_up=3000, seed=114
73, -1525.8941, gamma=0.98, tau=0.001, noise_scale=0.05, lr_a=0.0001, lr_c=0.0005999999999999997, updates_per_step=2, hidden_size=128, batch_size=64, warn_up=3000, seed=115
74, -1562.2841, gamma=0.98, tau=0.001, noise_scale=0.05, lr_a=0.0001, lr_c=0.0005999999999999997, updates_per_step=1, hidden_size=128, batch_size=64, warn_up=3000, seed=116
75, -1390.3837, gamma=0.98, tau=0.001, noise_scale=0.05, lr_a=0.0003, lr_c=0.0005999999999999997, updates_per_step=1, hidden_size=128, batch_size=64, warn_up=3000, seed=117
76, -1521.9876, gamma=0.98, tau=0.001, noise_scale=0.05, lr_a=0.0003, lr_c=0.0005999999999999997, updates_per_step=1, hidden_size=128, batch_size=64, warn_up=3000, seed=118
77, -1456.8234, gamma=0.98, tau=0.001, noise_scale=0.05, lr_a=0.0003, lr_c=0.0005999999999999997, updates_per_step=1, hidden_size=128, batch_size=64, warn_up=3000, seed=119
78, -1427.3028, gamma=0.98, tau=0.001, noise_scale=0.05, lr_a=0.0003, lr_c=0.0005999999999999997, updates_per_step=1, hidden_size=128, batch_size=64, warn_up=3000, seed=120
79, -1373.4915, gamma=0.995, tau=0.001, noise_scale=0.05, lr_a=0.0003, lr_c=0.0005999999999999997, updates_per_step=1, hidden_size=128, batch_size=64, warn_up=3000, seed=121
80, -1586.0241, gamma=0.995, tau=0.001, noise_scale=0.05, lr_a=0.0003, lr_c=0.0005999999999999997, updates_per_step=1, hidden_size=128, batch_size=64, warn_up=3000, seed=122
81, -1663.6394, gamma=0.995, tau=0.001, noise_scale=0.05, lr_a=0.0003, lr_c=0.0005999999999999997, updates_per_step=1, hidden_size=128, batch_size=64, warn_up=3000, seed=123
82, -1402.9639, gamma=0.98, tau=0.001, noise_scale=0.05, lr_a=0.0003, lr_c=0.0005999999999999997, updates_per_step=2, hidden_size=128, batch_size=64, warn_up=3000, seed=124
83, -1380.0241, gamma=0.98, tau=0.001, noise_scale=0.05, lr_a=0.0003, lr_c=0.0005999999999999997, updates_per_step=2, hidden_size=128, batch_size=64, warn_up=3000, seed=125
84, -1499.5407, gamma=0.98, tau=0.001, noise_scale=0.05, lr_a=0.0003, lr_c=0.0005999999999999997, updates_per_step=1, hidden_size=256, batch_size=64, warn_up=3000, seed=126
85, -1506.0854, gamma=0.98, tau=0.001, noise_scale=0.05, lr_a=0.0003, lr_c=0.0005999999999999997, updates_per_step=2, hidden_size=256, batch_size=64, warn_up=3000, seed=127
86, -1450.3030, gamma=0.98, tau=0.001, noise_scale=0.05, lr_a=0.0003, lr_c=0.0005999999999999997, updates_per_step=2, hidden_size=128, batch_size=64, warn_up=3000, seed=128
87, -1625.0656, gamma=0.98, tau=0.001, noise_scale=0.05, lr_a=0.0003, lr_c=0.0005999999999999997, updates_per_step=1, hidden_size=128, batch_size=64, warn_up=3000, seed=129
88, -1416.9120, gamma=0.98, tau=0.001, noise_scale=0.05, lr_a=0.0003, lr_c=0.00020000000000000004, updates_per_step=1, hidden_size=128, batch_size=64, warn_up=3000, seed=130
89, -1448.8529, gamma=0.98, tau=0.001, noise_scale=0.05, lr_a=0.0003, lr_c=0.00020000000000000004, updates_per_step=2, hidden_size=128, batch_size=64, warn_up=3000, seed=131
90, -1497.7649, gamma=0.98, tau=0.001, noise_scale=0.05, lr_a=0.0003, lr_c=0.00020000000000000004, updates_per_step=1, hidden_size=128, batch_size=64, warn_up=3000, seed=132
91, -1469.6544, gamma=0.98, tau=0.001, noise_scale=0.05, lr_a=0.0003, lr_c=0.0005999999999999997, updates_per_step=2, hidden_size=256, batch_size=64, warn_up=3000, seed=133
92, -1491.6951, gamma=0.98, tau=0.001, noise_scale=0.05, lr_a=0.0001, lr_c=0.00020000000000000004, updates_per_step=2, hidden_size=256, batch_size=64, warn_up=3000, seed=134
93, -1426.8381, gamma=0.98, tau=0.001, noise_scale=0.05, lr_a=0.0003, lr_c=0.00020000000000000004, updates_per_step=2, hidden_size=256, batch_size=64, warn_up=3000, seed=135
94, -1604.2195, gamma=0.98, tau=0.001, noise_scale=0.05, lr_a=0.0003, lr_c=0.00020000000000000004, updates_per_step=2, hidden_size=256, batch_size=64, warn_up=3000, seed=136
95, -1372.0364, gamma=0.98, tau=0.001, noise_scale=0.05, lr_a=0.0003, lr_c=0.00020000000000000004, updates_per_step=2, hidden_size=128, batch_size=64, warn_up=3000, seed=137
96, -1504.2120, gamma=0.98, tau=0.001, noise_scale=0.05, lr_a=0.0003, lr_c=0.00020000000000000004, updates_per_step=2, hidden_size=128, batch_size=64, warn_up=3000, seed=138
97, -1502.0880, gamma=0.98, tau=0.001, noise_scale=0.05, lr_a=0.0003, lr_c=0.00020000000000000004, updates_per_step=2, hidden_size=128, batch_size=64, warn_up=3000, seed=139
